Year,State,Total_death
2022,Aguascalientes,88
2022,Baja California,2925
2022,Baja California Sur,90
2022,Campeche,110
2022,Coahuila,170
2022,Colima,887
2022,Chiapas,503
2022,Chihuahua,2157
2022,Ciudad de México,747
2022,Durango,127
2022,Guanajuato,4329
2022,Guerrero,1404
2022,Hidalgo,390
2022,Jalisco,1863
2022,México,3257
2022,Michoacán,2329
2022,Morelos,1175
2022,Nayarit,196
2022,Nuevo León,1410
2022,Oaxaca,805
2022,Puebla,1089
2022,Querétaro,192
2022,Quintana Roo,647
2022,San Luis Potosí,759
2022,Sinaloa,587
2022,Sonora,1759
2022,Tabasco,354
2022,Tamaulipas,482
2022,Tlaxcala,155
2022,Veracruz,787
2022,Yucatán,55
2022,Zacatecas,1459
2021,Aguascalientes,103
2021,Baja California,3248
2021,Baja California Sur,77
2021,Campeche,107
2021,Coahuila,171
2021,Colima,607
2021,Chiapas,568
2021,Chihuahua,2739
2021,Ciudad de México,1076
2021,Durango,143
2021,Guanajuato,4333
2021,Guerrero,1468
2021,Hidalgo,287
2021,Jalisco,2274
2021,México,3119
2021,Michoacán,2696
2021,Morelos,1199
2021,Nayarit,222
2021,Nuevo León,1070
2021,Oaxaca,786
2021,Puebla,847
2021,Querétaro,231
2021,Quintana Roo,677
2021,San Luis Potosí,797
2021,Sinaloa,635
2021,Sonora,2089
2021,Tabasco,453
2021,Tamaulipas,739
2021,Tlaxcala,160
2021,Veracruz,948
2021,Yucatán,55
2021,Zacatecas,1776
2020,Aguascalientes,93
2020,Baja California,2967
2020,Baja California Sur,78
2020,Campeche,76
2020,Coahuila,242
2020,Colima,694
2020,Chiapas,536
2020,Chihuahua,3468
2020,Ciudad de México,1340
2020,Durango,168
2020,Guanajuato,5370
2020,Guerrero,1507
2020,Hidalgo,366
2020,Jalisco,2241
2020,México,3089
2020,Michoacán,2400
2020,Morelos,988
2020,Nayarit,185
2020,Nuevo León,919
2020,Oaxaca,875
2020,Puebla,1031
2020,Querétaro,227
2020,Quintana Roo,628
2020,San Luis Potosí,803
2020,Sinaloa,866
2020,Sonora,1582
2020,Tabasco,585
2020,Tamaulipas,800
2020,Tlaxcala,154
2020,Veracruz,1179
2020,Yucatán,72
2020,Zacatecas,1244
2019,Aguascalientes,120
2019,Baja California,2823
2019,Baja California Sur,104
2019,Campeche,83
2019,Coahuila,306
2019,Colima,830
2019,Chiapas,619
2019,Chihuahua,2936
2019,Ciudad de México,1301
2019,Durango,175
2019,Guanajuato,4019
2019,Guerrero,1937
2019,Hidalgo,479
2019,Jalisco,2525
2019,México,3242
2019,Michoacán,2462
2019,Morelos,1059
2019,Nayarit,218
2019,Nuevo León,987
2019,Oaxaca,1164
2019,Puebla,1274
2019,Querétaro,224
2019,Quintana Roo,750
2019,San Luis Potosí,522
2019,Sinaloa,1133
2019,Sonora,1384
2019,Tabasco,691
2019,Tamaulipas,883
2019,Tlaxcala,189
2019,Veracruz,1493
2019,Yucatán,46
2019,Zacatecas,683
2018,Aguascalientes,82
2018,Baja California,2912
2018,Baja California Sur,200
2018,Campeche,79
2018,Coahuila,244
2018,Colima,747
2018,Chiapas,662
2018,Chihuahua,2978
2018,Ciudad de México,1469
2018,Durango,178
2018,Guanajuato,3517
2018,Guerrero,2367
2018,Hidalgo,340
2018,Jalisco,2928
2018,México,3170
2018,Michoacán,2076
2018,Morelos,823
2018,Nayarit,397
2018,Nuevo León,850
2018,Oaxaca,1128
2018,Puebla,1249
2018,Querétaro,229
2018,Quintana Roo,841
2018,San Luis Potosí,563
2018,Sinaloa,1214
2018,Sonora,936
2018,Tabasco,569
2018,Tamaulipas,1437
2018,Tlaxcala,152
2018,Veracruz,1516
2018,Yucatán,59
2018,Zacatecas,773
