año,edad,total_edad
2018, Menores de 1 año,78
2018, 1-4 años,104
2018, 5-9 años,92
2018, 10-14 años,193
2018, 15-19 años,2562
2018, 20-24 años,5069
2018, 25-29 años,5649
2018, 30-34 años,5058
2018, 35-39 años,4545
2018, 40-44 años,3745
2018, 45-49 años,2686
2018, 50-54 años,1769
2018, 55-59 años,1094
2018, 60-64 años,667
2018, 65-69 años,418
2018, 70-74 años,255
2018, 75-79 años,163
2018, 80-84 años,87
2018, 85 años y más,77
2018, No especificado,2374
2019, Menores de 1 año,72
2019, 1-4 años,103
2019, 5-9 años,83
2019, 10-14 años,203
2019, 15-19 años,2452
2019, 20-24 años,5194
2019, 25-29 años,5956
2019, 30-34 años,5327
2019, 35-39 años,4414
2019, 40-44 años,3693
2019, 45-49 años,2756
2019, 50-54 años,1738
2019, 55-59 años,1120
2019, 60-64 años,710
2019, 65-69 años,418
2019, 70-74 años,269
2019, 75-79 años,159
2019, 80-84 años,96
2019, 85 años y más,67
2019, No especificado,1831
2020, Menores de 1 año,55
2020, 1-4 años,97
2020, 5-9 años,92
2020, 10-14 años,212
2020, 15-19 años,2362
2020, 20-24 años,5083
2020, 25-29 años,5650
2020, 30-34 años,4969
2020, 35-39 años,4244
2020, 40-44 años,3529
2020, 45-49 años,2627
2020, 50-54 años,1754
2020, 55-59 años,1125
2020, 60-64 años,852
2020, 65-69 años,401
2020, 70-74 años,252
2020, 75-79 años,166
2020, 80-84 años,126
2020, 85 años y más,102
2020, No especificado,3075
2021, Menores de 1 año,61
2021, 1-4 años,73
2021, 5-9 años,89
2021, 10-14 años,220
2021, 15-19 años,2290
2021, 20-24 años,4947
2021, 25-29 años,5358
2021, 30-34 años,4997
2021, 35-39 años,4262
2021, 40-44 años,3421
2021, 45-49 años,2625
2021, 50-54 años,1752
2021, 55-59 años,1035
2021, 60-64 años,679
2021, 65-69 años,436
2021, 70-74 años,256
2021, 75-79 años,138
2021, 80-84 años,82
2021, 85 años y más,81
2021, No especificado,2898
2022, Menores de 1 año,64
2022, 1-4 años,71
2022, 5-9 años,78
2022, 10-14 años,199
2022, 15-19 años,2274
2022, 20-24 años,4259
2022, 25-29 años,4912
2022, 30-34 años,4583
2022, 35-39 años,3904
2022, 40-44 años,3218
2022, 45-49 años,2467
2022, 50-54 años,1671
2022, 55-59 años,1068
2022, 60-64 años,651
2022, 65-69 años,385
2022, 70-74 años,235
2022, 75-79 años,163
2022, 80-84 años,90
2022, 85 años y más,94
2022, No especificado,2901
